occ_group,occupation,country,count,occ_total,pct_of_occ,rank
Arts & Culture,academic,United Kingdom,16,98,16.33,1.0
Arts & Culture,academic,France,11,98,11.22,2.0
Arts & Culture,academic,Germany,7,98,7.14,3.0
Arts & Culture,academic,Spain,7,98,7.14,4.0
Arts & Culture,academic,Italy,6,98,6.12,5.0
Arts & Culture,accordionist,Finland,18,103,17.48,1.0
Arts & Culture,accordionist,France,12,103,11.65,2.0
Arts & Culture,accordionist,Slovenia,12,103,11.65,3.0
Arts & Culture,accordionist,Russia,10,103,9.71,4.0
Arts & Culture,accordionist,Czech Republic,8,103,7.77,5.0
Arts & Culture,activist,Spain,33,193,17.1,1.0
Arts & Culture,activist,France,29,193,15.03,2.0
Arts & Culture,activist,United Kingdom,24,193,12.44,3.0
Arts & Culture,activist,Italy,18,193,9.33,4.0
Arts & Culture,activist,Germany,11,193,5.7,5.0
Arts & Culture,actor,United Kingdom,3100,25112,12.34,1.0
Arts & Culture,actor,Italy,2453,25112,9.77,2.0
Arts & Culture,actor,France,2355,25112,9.38,3.0
Arts & Culture,actor,Germany,1995,25112,7.94,4.0
Arts & Culture,actor,Russia,1812,25112,7.22,5.0
Arts & Culture,aesthetician,Czech Republic,13,27,48.15,1.0
Arts & Culture,aesthetician,Spain,3,27,11.11,2.0
Arts & Culture,aesthetician,Germany,2,27,7.41,3.0
Arts & Culture,aesthetician,Austria,1,27,3.7,4.0
Arts & Culture,aesthetician,France,1,27,3.7,5.0
Arts & Culture,aircraft pilot,Russia,22,117,18.8,1.0
Arts & Culture,aircraft pilot,United Kingdom,18,117,15.38,2.0
Arts & Culture,aircraft pilot,Germany,15,117,12.82,3.0
Arts & Culture,aircraft pilot,Sweden,9,117,7.69,4.0
Arts & Culture,aircraft pilot,France,7,117,5.98,5.0
Arts & Culture,american football player,Finland,1,4,25.0,1.0
Arts & Culture,american football player,Italy,1,4,25.0,2.0
Arts & Culture,american football player,Serbia,1,4,25.0,3.0
Arts & Culture,american football player,United Kingdom,1,4,25.0,4.0
Arts & Culture,animator,Czech Republic,37,257,14.4,1.0
Arts & Culture,animator,Russia,33,257,12.84,2.0
Arts & Culture,animator,Netherlands,29,257,11.28,3.0
Arts & Culture,animator,United Kingdom,26,257,10.12,4.0
Arts & Culture,animator,France,24,257,9.34,5.0
Arts & Culture,announcer,Spain,43,79,54.43,1.0
Arts & Culture,announcer,Italy,10,79,12.66,2.0
Arts & Culture,announcer,Russia,10,79,12.66,3.0
Arts & Culture,announcer,Czech Republic,3,79,3.8,4.0
Arts & Culture,announcer,Estonia,3,79,3.8,5.0
Arts & Culture,anthropologist,Spain,24,132,18.18,1.0
Arts & Culture,anthropologist,France,19,132,14.39,2.0
Arts & Culture,anthropologist,United Kingdom,14,132,10.61,3.0
Arts & Culture,anthropologist,Italy,12,132,9.09,4.0
Arts & Culture,anthropologist,Poland,7,132,5.3,5.0
Arts & Culture,archaeologist,Spain,17,96,17.71,1.0
Arts & Culture,archaeologist,United Kingdom,11,96,11.46,2.0
Arts & Culture,archaeologist,Italy,9,96,9.38,3.0
Arts & Culture,archaeologist,Czech Republic,5,96,5.21,4.0
Arts & Culture,archaeologist,France,5,96,5.21,5.0
Arts & Culture,architect,Sweden,272,2506,10.85,1.0
Arts & Culture,architect,Italy,257,2506,10.26,2.0
Arts & Culture,architect,Germany,220,2506,8.78,3.0
Arts & Culture,architect,Poland,209,2506,8.34,4.0
Arts & Culture,architect,Russia,152,2506,6.07,5.0
Arts & Culture,architectural historian,Italy,12,44,27.27,1.0
Arts & Culture,architectural historian,Germany,7,44,15.91,2.0
Arts & Culture,architectural historian,Czech Republic,6,44,13.64,3.0
Arts & Culture,architectural historian,France,3,44,6.82,4.0
Arts & Culture,architectural historian,United Kingdom,3,44,6.82,5.0
Arts & Culture,archivist,Czech Republic,25,72,34.72,1.0
Arts & Culture,archivist,Germany,11,72,15.28,2.0
Arts & Culture,archivist,Spain,10,72,13.89,3.0
Arts & Culture,archivist,Sweden,5,72,6.94,4.0
Arts & Culture,archivist,Russia,3,72,4.17,5.0
Arts & Culture,art collector,France,11,51,21.57,1.0
Arts & Culture,art collector,Germany,11,51,21.57,2.0
Arts & Culture,art collector,United Kingdom,6,51,11.76,3.0
Arts & Culture,art collector,Hungary,4,51,7.84,4.0
Arts & Culture,art collector,Italy,4,51,7.84,5.0
Arts & Culture,art critic,France,29,176,16.48,1.0
Arts & Culture,art critic,Italy,26,176,14.77,2.0
Arts & Culture,art critic,Spain,26,176,14.77,3.0
Arts & Culture,art critic,Czech Republic,15,176,8.52,4.0
Arts & Culture,art critic,Russia,12,176,6.82,5.0
Arts & Culture,art director,Italy,15,54,27.78,1.0
Arts & Culture,art director,France,10,54,18.52,2.0
Arts & Culture,art director,Russia,5,54,9.26,3.0
Arts & Culture,art director,Hungary,4,54,7.41,4.0
Arts & Culture,art director,United Kingdom,3,54,5.56,5.0
Arts & Culture,art educator,Czech Republic,43,145,29.66,1.0
Arts & Culture,art educator,Sweden,17,145,11.72,2.0
Arts & Culture,art educator,Poland,10,145,6.9,3.0
Arts & Culture,art educator,Germany,9,145,6.21,4.0
Arts & Culture,art educator,Estonia,6,145,4.14,5.0
Arts & Culture,art historian,Czech Republic,60,398,15.08,1.0
Arts & Culture,art historian,France,36,398,9.05,2.0
Arts & Culture,art historian,Russia,36,398,9.05,3.0
Arts & Culture,art historian,Germany,30,398,7.54,4.0
Arts & Culture,art historian,Poland,28,398,7.04,5.0
Arts & Culture,art theorist,Czech Republic,28,71,39.44,1.0
Arts & Culture,art theorist,France,8,71,11.27,2.0
Arts & Culture,art theorist,Russia,6,71,8.45,3.0
Arts & Culture,art theorist,Poland,5,71,7.04,4.0
Arts & Culture,art theorist,Belarus,3,71,4.23,5.0
Arts & Culture,artificial intelligence researcher,United Kingdom,3,6,50.0,1.0
Arts & Culture,artificial intelligence researcher,Austria,1,6,16.67,2.0
Arts & Culture,artificial intelligence researcher,France,1,6,16.67,3.0
Arts & Culture,artificial intelligence researcher,Spain,1,6,16.67,4.0
Arts & Culture,artist,Sweden,266,1848,14.39,1.0
Arts & Culture,artist,Germany,241,1848,13.04,2.0
Arts & Culture,artist,United Kingdom,169,1848,9.15,3.0
Arts & Culture,artist,France,154,1848,8.33,4.0
Arts & Culture,artist,Spain,115,1848,6.22,5.0
Arts & Culture,association football manager,Spain,6,36,16.67,1.0
Arts & Culture,association football manager,United Kingdom,4,36,11.11,2.0
Arts & Culture,association football manager,Austria,3,36,8.33,3.0
Arts & Culture,association football manager,France,3,36,8.33,4.0
Arts & Culture,association football manager,Germany,3,36,8.33,5.0
Arts & Culture,association football player,United Kingdom,48,224,21.43,1.0
Arts & Culture,association football player,Germany,22,224,9.82,2.0
Arts & Culture,association football player,Spain,20,224,8.93,3.0
Arts & Culture,association football player,Italy,16,224,7.14,4.0
Arts & Culture,association football player,France,14,224,6.25,5.0
Arts & Culture,astronaut,Russia,14,18,77.78,1.0
Arts & Culture,astronaut,Belarus,2,18,11.11,2.0
Arts & Culture,astronaut,Italy,1,18,5.56,3.0
Arts & Culture,astronaut,Ukraine,1,18,5.56,4.0
Arts & Culture,astronomer,United Kingdom,8,39,20.51,1.0
Arts & Culture,astronomer,Czech Republic,6,39,15.38,2.0
Arts & Culture,astronomer,France,4,39,10.26,3.0
Arts & Culture,astronomer,Netherlands,4,39,10.26,4.0
Arts & Culture,astronomer,Germany,3,39,7.69,5.0
Arts & Culture,astrophysicist,France,5,19,26.32,1.0
Arts & Culture,astrophysicist,United Kingdom,5,19,26.32,2.0
Arts & Culture,astrophysicist,Germany,2,19,10.53,3.0
Arts & Culture,astrophysicist,Italy,1,19,5.26,4.0
Arts & Culture,astrophysicist,Netherlands,1,19,5.26,5.0
Arts & Culture,athlete,Czech Republic,10,53,18.87,1.0
Arts & Culture,athlete,Germany,8,53,15.09,2.0
Arts & Culture,athlete,Poland,8,53,15.09,3.0
Arts & Culture,athlete,Russia,5,53,9.43,4.0
Arts & Culture,athlete,Spain,5,53,9.43,5.0
Arts & Culture,athletics competitor,Germany,11,70,15.71,1.0
Arts & Culture,athletics competitor,Poland,11,70,15.71,2.0
Arts & Culture,athletics competitor,Spain,5,70,7.14,3.0
Arts & Culture,athletics competitor,Estonia,4,70,5.71,4.0
Arts & Culture,athletics competitor,France,4,70,5.71,5.0
Arts & Culture,audio engineer,United Kingdom,28,131,21.37,1.0
Arts & Culture,audio engineer,Russia,21,131,16.03,2.0
Arts & Culture,audio engineer,France,13,131,9.92,3.0
Arts & Culture,audio engineer,Germany,11,131,8.4,4.0
Arts & Culture,audio engineer,Hungary,9,131,6.87,5.0
Arts & Culture,audiobook narrator,Poland,21,64,32.81,1.0
Arts & Culture,audiobook narrator,France,18,64,28.12,2.0
Arts & Culture,audiobook narrator,United Kingdom,9,64,14.06,3.0
Arts & Culture,audiobook narrator,Germany,4,64,6.25,4.0
Arts & Culture,audiobook narrator,Denmark,3,64,4.69,5.0
Arts & Culture,author,Germany,129,609,21.18,1.0
Arts & Culture,author,United Kingdom,75,609,12.32,2.0
Arts & Culture,author,Belgium,63,609,10.34,3.0
Arts & Culture,author,Netherlands,37,609,6.08,4.0
Arts & Culture,author,Norway,37,609,6.08,5.0
Arts & Culture,autobiographer,United Kingdom,141,305,46.23,1.0
Arts & Culture,autobiographer,Germany,43,305,14.1,2.0
Arts & Culture,autobiographer,France,17,305,5.57,3.0
Arts & Culture,autobiographer,Denmark,15,305,4.92,4.0
Arts & Culture,autobiographer,Sweden,15,305,4.92,5.0
Arts & Culture,badminton player,Austria,1,2,50.0,1.0
Arts & Culture,badminton player,Romania,1,2,50.0,2.0
Arts & Culture,ballet dancer,Russia,51,231,22.08,1.0
Arts & Culture,ballet dancer,United Kingdom,22,231,9.52,2.0
Arts & Culture,ballet dancer,France,20,231,8.66,3.0
Arts & Culture,ballet dancer,Italy,17,231,7.36,4.0
Arts & Culture,ballet dancer,Czech Republic,16,231,6.93,5.0
Arts & Culture,ballet master,Russia,20,58,34.48,1.0
Arts & Culture,ballet master,France,7,58,12.07,2.0
Arts & Culture,ballet master,Ukraine,5,58,8.62,3.0
Arts & Culture,ballet master,Czech Republic,4,58,6.9,4.0
Arts & Culture,ballet master,Belarus,2,58,3.45,5.0
Arts & Culture,bandleader,United Kingdom,28,125,22.4,1.0
Arts & Culture,bandleader,Germany,19,125,15.2,2.0
Arts & Culture,bandleader,Czech Republic,14,125,11.2,3.0
Arts & Culture,bandleader,Netherlands,12,125,9.6,4.0
Arts & Culture,bandleader,Sweden,8,125,6.4,5.0
Arts & Culture,banker,United Kingdom,6,28,21.43,1.0
Arts & Culture,banker,Netherlands,3,28,10.71,2.0
Arts & Culture,banker,Russia,3,28,10.71,3.0
Arts & Culture,banker,Sweden,3,28,10.71,4.0
Arts & Culture,banker,France,2,28,7.14,5.0
Arts & Culture,baseball player,Italy,2,3,66.67,1.0
Arts & Culture,baseball player,United Kingdom,1,3,33.33,2.0
Arts & Culture,basketball coach,Serbia,1,1,100.0,1.0
Arts & Culture,basketball player,Italy,4,31,12.9,1.0
Arts & Culture,basketball player,Serbia,3,31,9.68,2.0
Arts & Culture,basketball player,Spain,3,31,9.68,3.0
Arts & Culture,basketball player,Bulgaria,2,31,6.45,4.0
Arts & Culture,basketball player,Estonia,2,31,6.45,5.0
Arts & Culture,bass guitarist,United Kingdom,34,111,30.63,1.0
Arts & Culture,bass guitarist,Russia,20,111,18.02,2.0
Arts & Culture,bass guitarist,Finland,11,111,9.91,3.0
Arts & Culture,bass guitarist,Czech Republic,5,111,4.5,4.0
Arts & Culture,bass guitarist,Estonia,5,111,4.5,5.0
Arts & Culture,bassist,United Kingdom,64,146,43.84,1.0
Arts & Culture,bassist,Germany,14,146,9.59,2.0
Arts & Culture,bassist,Italy,13,146,8.9,3.0
Arts & Culture,bassist,Finland,7,146,4.79,4.0
Arts & Culture,bassist,Poland,7,146,4.79,5.0
Arts & Culture,beauty pageant contestant,France,20,130,15.38,1.0
Arts & Culture,beauty pageant contestant,Italy,18,130,13.85,2.0
Arts & Culture,beauty pageant contestant,Sweden,12,130,9.23,3.0
Arts & Culture,beauty pageant contestant,United Kingdom,10,130,7.69,4.0
Arts & Culture,beauty pageant contestant,Russia,9,130,6.92,5.0
Arts & Culture,bertsolari,Spain,32,38,84.21,1.0
Arts & Culture,bertsolari,France,6,38,15.79,2.0
Arts & Culture,biochemist,Spain,4,20,20.0,1.0
Arts & Culture,biochemist,France,3,20,15.0,2.0
Arts & Culture,biochemist,United Kingdom,3,20,15.0,3.0
Arts & Culture,biochemist,Czech Republic,2,20,10.0,4.0
Arts & Culture,biochemist,Germany,2,20,10.0,5.0
Arts & Culture,biographer,United Kingdom,66,265,24.91,1.0
Arts & Culture,biographer,France,53,265,20.0,2.0
Arts & Culture,biographer,Norway,29,265,10.94,3.0
Arts & Culture,biographer,Germany,15,265,5.66,4.0
Arts & Culture,biographer,Spain,15,265,5.66,5.0
Arts & Culture,biologist,Spain,12,95,12.63,1.0
Arts & Culture,biologist,Germany,11,95,11.58,2.0
Arts & Culture,biologist,United Kingdom,11,95,11.58,3.0
Arts & Culture,biologist,Netherlands,9,95,9.47,4.0
Arts & Culture,biologist,Czech Republic,8,95,8.42,5.0
Arts & Culture,biophysicist,Germany,2,7,28.57,1.0
Arts & Culture,biophysicist,Romania,1,7,14.29,2.0
Arts & Culture,biophysicist,Russia,1,7,14.29,3.0
Arts & Culture,biophysicist,Slovakia,1,7,14.29,4.0
Arts & Culture,biophysicist,Ukraine,1,7,14.29,5.0
Arts & Culture,blogger,United Kingdom,56,301,18.6,1.0
Arts & Culture,blogger,Russia,50,301,16.61,2.0
Arts & Culture,blogger,Italy,30,301,9.97,3.0
Arts & Culture,blogger,Ukraine,27,301,8.97,4.0
Arts & Culture,blogger,Sweden,22,301,7.31,5.0
Arts & Culture,bohemicist,Czech Republic,25,32,78.12,1.0
Arts & Culture,bohemicist,Belarus,1,32,3.12,2.0
Arts & Culture,bohemicist,Hungary,1,32,3.12,3.0
Arts & Culture,bohemicist,Italy,1,32,3.12,4.0
Arts & Culture,bohemicist,Kingdom of Hungary,1,32,3.12,5.0
Arts & Culture,botanist,Germany,9,35,25.71,1.0
Arts & Culture,botanist,Czech Republic,7,35,20.0,2.0
Arts & Culture,botanist,France,5,35,14.29,3.0
Arts & Culture,botanist,United Kingdom,4,35,11.43,4.0
Arts & Culture,botanist,Spain,3,35,8.57,5.0
Arts & Culture,boxer,Italy,14,79,17.72,1.0
Arts & Culture,boxer,United Kingdom,10,79,12.66,2.0
Arts & Culture,boxer,France,9,79,11.39,3.0
Arts & Culture,boxer,Germany,8,79,10.13,4.0
Arts & Culture,boxer,Poland,5,79,6.33,5.0
Arts & Culture,business executive,France,9,22,40.91,1.0
Arts & Culture,business executive,United Kingdom,3,22,13.64,2.0
Arts & Culture,business executive,Austria,2,22,9.09,3.0
Arts & Culture,business executive,Germany,2,22,9.09,4.0
Arts & Culture,business executive,Italy,2,22,9.09,5.0
Arts & Culture,businessperson,Spain,80,336,23.81,1.0
Arts & Culture,businessperson,United Kingdom,66,336,19.64,2.0
Arts & Culture,businessperson,France,29,336,8.63,3.0
Arts & Culture,businessperson,Italy,18,336,5.36,4.0
Arts & Culture,businessperson,Russia,18,336,5.36,5.0
Arts & Culture,cabaret performer,Netherlands,117,318,36.79,1.0
Arts & Culture,cabaret performer,Germany,76,318,23.9,2.0
Arts & Culture,cabaret performer,Poland,29,318,9.12,3.0
Arts & Culture,cabaret performer,Austria,27,318,8.49,4.0
Arts & Culture,cabaret performer,Belgium,23,318,7.23,5.0
Arts & Culture,camera operator,Russia,21,94,22.34,1.0
Arts & Culture,camera operator,Czech Republic,16,94,17.02,2.0
Arts & Culture,camera operator,Ukraine,11,94,11.7,3.0
Arts & Culture,camera operator,Poland,6,94,6.38,4.0
Arts & Culture,camera operator,United Kingdom,6,94,6.38,5.0
Arts & Culture,cardiologist,Netherlands,1,3,33.33,1.0
Arts & Culture,cardiologist,Russia,1,3,33.33,2.0
Arts & Culture,cardiologist,Spain,1,3,33.33,3.0
Arts & Culture,caricaturist,Czech Republic,26,197,13.2,1.0
Arts & Culture,caricaturist,France,24,197,12.18,2.0
Arts & Culture,caricaturist,Estonia,21,197,10.66,3.0
Arts & Culture,caricaturist,Germany,20,197,10.15,4.0
Arts & Culture,caricaturist,Spain,17,197,8.63,5.0
Arts & Culture,cartoonist,Sweden,40,202,19.8,1.0
Arts & Culture,cartoonist,Belgium,27,202,13.37,2.0
Arts & Culture,cartoonist,France,26,202,12.87,3.0
Arts & Culture,cartoonist,Finland,19,202,9.41,4.0
Arts & Culture,cartoonist,Germany,13,202,6.44,5.0
Arts & Culture,catholic bishop,Czech Republic,13,70,18.57,1.0
Arts & Culture,catholic bishop,Germany,12,70,17.14,2.0
Arts & Culture,catholic bishop,Italy,7,70,10.0,3.0
Arts & Culture,catholic bishop,Poland,7,70,10.0,4.0
Arts & Culture,catholic bishop,France,6,70,8.57,5.0
Arts & Culture,catholic priest,Spain,63,330,19.09,1.0
Arts & Culture,catholic priest,Czech Republic,62,330,18.79,2.0
Arts & Culture,catholic priest,Germany,39,330,11.82,3.0
Arts & Culture,catholic priest,France,33,330,10.0,4.0
Arts & Culture,catholic priest,Italy,23,330,6.97,5.0
Arts & Culture,cellist,Czech Republic,13,107,12.15,1.0
Arts & Culture,cellist,France,12,107,11.21,2.0
Arts & Culture,cellist,Germany,10,107,9.35,3.0
Arts & Culture,cellist,Russia,10,107,9.35,4.0
Arts & Culture,cellist,Finland,8,107,7.48,5.0
Arts & Culture,ceramicist,Netherlands,72,323,22.29,1.0
Arts & Culture,ceramicist,Czech Republic,49,323,15.17,2.0
Arts & Culture,ceramicist,Italy,31,323,9.6,3.0
Arts & Culture,ceramicist,Spain,22,323,6.81,4.0
Arts & Culture,ceramicist,France,21,323,6.5,5.0
Arts & Culture,chemist,Czech Republic,8,63,12.7,1.0
Arts & Culture,chemist,Spain,7,63,11.11,2.0
Arts & Culture,chemist,Ukraine,6,63,9.52,3.0
Arts & Culture,chemist,Poland,5,63,7.94,4.0
Arts & Culture,chemist,United Kingdom,5,63,7.94,5.0
Arts & Culture,chess composer,Russia,3,7,42.86,1.0
Arts & Culture,chess composer,Finland,1,7,14.29,2.0
Arts & Culture,chess composer,Latvia,1,7,14.29,3.0
Arts & Culture,chess composer,Netherlands,1,7,14.29,4.0
Arts & Culture,chess composer,Slovakia,1,7,14.29,5.0
Arts & Culture,chess player,Netherlands,14,91,15.38,1.0
Arts & Culture,chess player,Russia,13,91,14.29,2.0
Arts & Culture,chess player,United Kingdom,13,91,14.29,3.0
Arts & Culture,chess player,Germany,11,91,12.09,4.0
Arts & Culture,chess player,Ukraine,6,91,6.59,5.0
Arts & Culture,chief executive officer,France,2,13,15.38,1.0
Arts & Culture,chief executive officer,Ireland,2,13,15.38,2.0
Arts & Culture,chief executive officer,Sweden,2,13,15.38,3.0
Arts & Culture,chief executive officer,Belgium,1,13,7.69,4.0
Arts & Culture,chief executive officer,Czech Republic,1,13,7.69,5.0
Arts & Culture,child actor,Czech Republic,42,108,38.89,1.0
Arts & Culture,child actor,United Kingdom,28,108,25.93,2.0
Arts & Culture,child actor,Germany,10,108,9.26,3.0
Arts & Culture,child actor,Sweden,5,108,4.63,4.0
Arts & Culture,child actor,France,4,108,3.7,5.0
Arts & Culture,children's writer,France,233,1193,19.53,1.0
Arts & Culture,children's writer,Netherlands,149,1193,12.49,2.0
Arts & Culture,children's writer,United Kingdom,111,1193,9.3,3.0
Arts & Culture,children's writer,Norway,84,1193,7.04,4.0
Arts & Culture,children's writer,Russia,71,1193,5.95,5.0
Arts & Culture,choir director,Germany,47,271,17.34,1.0
Arts & Culture,choir director,Czech Republic,32,271,11.81,2.0
Arts & Culture,choir director,United Kingdom,21,271,7.75,3.0
Arts & Culture,choir director,Estonia,20,271,7.38,4.0
Arts & Culture,choir director,Russia,17,271,6.27,5.0
Arts & Culture,choreographer,France,65,513,12.67,1.0
Arts & Culture,choreographer,Russia,57,513,11.11,2.0
Arts & Culture,choreographer,Czech Republic,53,513,10.33,3.0
Arts & Culture,choreographer,Spain,34,513,6.63,4.0
Arts & Culture,choreographer,Germany,31,513,6.04,5.0
Arts & Culture,church historian,Czech Republic,3,19,15.79,1.0
Arts & Culture,church historian,Italy,3,19,15.79,2.0
Arts & Culture,church historian,France,2,19,10.53,3.0
Arts & Culture,church historian,Germany,2,19,10.53,4.0
Arts & Culture,church historian,United Kingdom,2,19,10.53,5.0
Arts & Culture,cinematographer,Germany,81,523,15.49,1.0
Arts & Culture,cinematographer,France,56,523,10.71,2.0
Arts & Culture,cinematographer,Poland,44,523,8.41,3.0
Arts & Culture,cinematographer,United Kingdom,39,523,7.46,4.0
Arts & Culture,cinematographer,Hungary,36,523,6.88,5.0
Arts & Culture,circus performer,France,10,53,18.87,1.0
Arts & Culture,circus performer,Russia,10,53,18.87,2.0
Arts & Culture,circus performer,United Kingdom,7,53,13.21,3.0
Arts & Culture,circus performer,Germany,6,53,11.32,4.0
Arts & Culture,circus performer,Italy,5,53,9.43,5.0
Arts & Culture,civil engineer,Czech Republic,7,37,18.92,1.0
Arts & Culture,civil engineer,Spain,5,37,13.51,2.0
Arts & Culture,civil engineer,France,4,37,10.81,3.0
Arts & Culture,civil engineer,Germany,4,37,10.81,4.0
Arts & Culture,civil engineer,Slovenia,3,37,8.11,5.0
Arts & Culture,civil servant,Spain,9,46,19.57,1.0
Arts & Culture,civil servant,Bulgaria,5,46,10.87,2.0
Arts & Culture,civil servant,France,3,46,6.52,3.0
Arts & Culture,civil servant,Italy,3,46,6.52,4.0
Arts & Culture,civil servant,Netherlands,3,46,6.52,5.0
Arts & Culture,clarinetist,Germany,16,105,15.24,1.0
Arts & Culture,clarinetist,France,12,105,11.43,2.0
Arts & Culture,clarinetist,Czech Republic,11,105,10.48,3.0
Arts & Culture,clarinetist,Switzerland,7,105,6.67,4.0
Arts & Culture,clarinetist,United Kingdom,7,105,6.67,5.0
Arts & Culture,classical guitarist,Spain,12,53,22.64,1.0
Arts & Culture,classical guitarist,Germany,9,53,16.98,2.0
Arts & Culture,classical guitarist,Italy,5,53,9.43,3.0
Arts & Culture,classical guitarist,France,4,53,7.55,4.0
Arts & Culture,classical guitarist,Poland,4,53,7.55,5.0
Arts & Culture,classical philologist,Germany,5,24,20.83,1.0
Arts & Culture,classical philologist,Czech Republic,3,24,12.5,2.0
Arts & Culture,classical philologist,Spain,3,24,12.5,3.0
Arts & Culture,classical philologist,Hungary,2,24,8.33,4.0
Arts & Culture,classical philologist,Italy,2,24,8.33,5.0
Arts & Culture,clown,Spain,17,45,37.78,1.0
Arts & Culture,clown,Russia,9,45,20.0,2.0
Arts & Culture,clown,Czech Republic,4,45,8.89,3.0
Arts & Culture,clown,Ukraine,4,45,8.89,4.0
Arts & Culture,clown,France,3,45,6.67,5.0
Arts & Culture,club dj,Netherlands,13,55,23.64,1.0
Arts & Culture,club dj,United Kingdom,12,55,21.82,2.0
Arts & Culture,club dj,Germany,8,55,14.55,3.0
Arts & Culture,club dj,France,7,55,12.73,4.0
Arts & Culture,club dj,Italy,4,55,7.27,5.0
Arts & Culture,coach,Russia,7,28,25.0,1.0
Arts & Culture,coach,Hungary,4,28,14.29,2.0
Arts & Culture,coach,Czech Republic,3,28,10.71,3.0
Arts & Culture,coach,Estonia,3,28,10.71,4.0
Arts & Culture,coach,Ukraine,3,28,10.71,5.0
Arts & Culture,collagist,Czech Republic,20,53,37.74,1.0
Arts & Culture,collagist,Netherlands,8,53,15.09,2.0
Arts & Culture,collagist,France,7,53,13.21,3.0
Arts & Culture,collagist,Germany,5,53,9.43,4.0
Arts & Culture,collagist,United Kingdom,4,53,7.55,5.0
Arts & Culture,collector,Czech Republic,11,51,21.57,1.0
Arts & Culture,collector,Russia,10,51,19.61,2.0
Arts & Culture,collector,France,9,51,17.65,3.0
Arts & Culture,collector,Ukraine,4,51,7.84,4.0
Arts & Culture,collector,Austria,2,51,3.92,5.0
Arts & Culture,columnist,Netherlands,164,375,43.73,1.0
Arts & Culture,columnist,Spain,41,375,10.93,2.0
Arts & Culture,columnist,Belgium,28,375,7.47,3.0
Arts & Culture,columnist,United Kingdom,28,375,7.47,4.0
Arts & Culture,columnist,France,23,375,6.13,5.0
Arts & Culture,comedian,United Kingdom,450,1498,30.04,1.0
Arts & Culture,comedian,France,174,1498,11.62,2.0
Arts & Culture,comedian,Germany,163,1498,10.88,3.0
Arts & Culture,comedian,Italy,149,1498,9.95,4.0
Arts & Culture,comedian,Sweden,74,1498,4.94,5.0
Arts & Culture,comics artist,France,129,461,27.98,1.0
Arts & Culture,comics artist,Belgium,77,461,16.7,2.0
Arts & Culture,comics artist,Italy,62,461,13.45,3.0
Arts & Culture,comics artist,Spain,52,461,11.28,4.0
Arts & Culture,comics artist,United Kingdom,28,461,6.07,5.0
Arts & Culture,comics writer,Belgium,65,186,34.95,1.0
Arts & Culture,comics writer,France,59,186,31.72,2.0
Arts & Culture,comics writer,Czech Republic,16,186,8.6,3.0
Arts & Culture,comics writer,Italy,13,186,6.99,4.0
Arts & Culture,comics writer,United Kingdom,12,186,6.45,5.0
Arts & Culture,competitive diver,Finland,2,10,20.0,1.0
Arts & Culture,competitive diver,Germany,2,10,20.0,2.0
Arts & Culture,competitive diver,Italy,2,10,20.0,3.0
Arts & Culture,competitive diver,Austria,1,10,10.0,4.0
Arts & Culture,competitive diver,Czech Republic,1,10,10.0,5.0
Arts & Culture,composer,United Kingdom,958,9154,10.47,1.0
Arts & Culture,composer,Italy,832,9154,9.09,2.0
Arts & Culture,composer,Germany,827,9154,9.03,3.0
Arts & Culture,composer,France,692,9154,7.56,4.0
Arts & Culture,composer,Russia,663,9154,7.24,5.0
Arts & Culture,computer scientist,United Kingdom,14,84,16.67,1.0
Arts & Culture,computer scientist,Germany,11,84,13.1,2.0
Arts & Culture,computer scientist,Czech Republic,6,84,7.14,3.0
Arts & Culture,computer scientist,France,6,84,7.14,4.0
Arts & Culture,computer scientist,Poland,6,84,7.14,5.0
Arts & Culture,conceptual artist,Netherlands,35,168,20.83,1.0
Arts & Culture,conceptual artist,United Kingdom,20,168,11.9,2.0
Arts & Culture,conceptual artist,Germany,19,168,11.31,3.0
Arts & Culture,conceptual artist,France,14,168,8.33,4.0
Arts & Culture,conceptual artist,Czech Republic,12,168,7.14,5.0
Arts & Culture,conductor,Italy,226,1959,11.54,1.0
Arts & Culture,conductor,Germany,208,1959,10.62,2.0
Arts & Culture,conductor,Russia,155,1959,7.91,3.0
Arts & Culture,conductor,France,132,1959,6.74,4.0
Arts & Culture,conductor,United Kingdom,130,1959,6.64,5.0
Arts & Culture,consultant,Spain,7,39,17.95,1.0
Arts & Culture,consultant,France,6,39,15.38,2.0
Arts & Culture,consultant,Germany,6,39,15.38,3.0
Arts & Culture,consultant,United Kingdom,5,39,12.82,4.0
Arts & Culture,consultant,Netherlands,3,39,7.69,5.0
Arts & Culture,cook,Germany,15,61,24.59,1.0
Arts & Culture,cook,Spain,8,61,13.11,2.0
Arts & Culture,cook,United Kingdom,5,61,8.2,3.0
Arts & Culture,cook,Czech Republic,4,61,6.56,4.0
Arts & Culture,cook,France,4,61,6.56,5.0
Arts & Culture,correspondence chess player,Latvia,1,3,33.33,1.0
Arts & Culture,correspondence chess player,Russia,1,3,33.33,2.0
Arts & Culture,correspondence chess player,Sweden,1,3,33.33,3.0
Arts & Culture,costume designer,France,23,152,15.13,1.0
Arts & Culture,costume designer,Italy,16,152,10.53,2.0
Arts & Culture,costume designer,Czech Republic,15,152,9.87,3.0
Arts & Culture,costume designer,Germany,14,152,9.21,4.0
Arts & Culture,costume designer,Russia,11,152,7.24,5.0
